,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
3642,PROGNOSIS AND VENTRICULAR CURVATURE IN TIMI TRIAL,NHLBI,3426781,1R03HL046144-01A1,1,R03,HL,46144,1,A1,,1892628,"SHEEHAN, FLORENCE ",Not Applicable,UNIVERSITY OF WASHINGTON,,1991,75493,
3643,100000,,,,,,,,,,,,,,,,,,
3644,CRCNS: Deep Neural Network Approaches for Closed-Loop Deep Brain Stimulation,NINDS,9680749,2R42HL131081-02,10021999,7R01NS110424-02,,7681341,7,R01,NS,110424,2,,,9467758,"SHEKHAR, RAJ  ","DOROSHOW, ROBIN ","RICHARDSON, ROBERT MARK "
3645,Development and Evaluation of a Machine Learning Approach to Interpret Optical Coherence Tomography Images of the Middle Ear to Improve Antibiotic Management,NIDCD,9847606,1R43DC017422-01A1,1,R43,DC,17422,1,A1,,11896192,"SHELTON, RYAN L",Not Applicable,"PHOTONICARE, INC.",,2019,223899,
3646,9647173,1K22CA234406-01,1,K22,CA,234406,1,,,11006230,"SHEN, JOHN PAUL YING CHING",Not Applicable,UNIVERSITY OF TX MD ANDERSON CAN CTR,,2019,192240,,,
3647,,2019,450954,,,,,,,,,,,,,,,,
3648,Integrative Bioinformatics Approaches to Human Brain Genomics and Connectomics,NIBIB,9482419,5R01EB022574-04,5,R01,EB,22574,4,,,8667006,"SHEN, LI ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2018,Bioinformatics and Information Technologies,NIAID
3649,Integrative Bioinformatics Approaches to Human Brain Genomics and Connectomics,NIBIB,9324260,5R01EB022574-02,5,R01,EB,22574,2,,,8667006,"SHEN, LI ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,,2017,101908,
3650,Bioinformatics and Information Technologies,NIAID,8819504,5P30AI036214-21,5,P30,AI,36214,21,,7357,1871837,"RICHMAN, DOUGLAS D",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2015,,"28548""Integrative Bioinformatics Approaches to Human Brain Genomics and Connectomics"""
3651,Bioinformatics and Information Technologies,NIAID,8648963,5P30AI036214-20,5,P30,AI,36214,20,,7357,1871837,"RICHMAN, DOUGLAS D",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2014,,"31809""Core 1: Biostatistics and Bioinformatics"""
3652,Predictive Analytics for Retention in HIV Care,NIMH,9846472,1K23MH121190-01,1,K23,MH,121190,1,,,11679411,"RIDGWAY, JESSICA ",Not Applicable,UNIVERSITY OF CHICAGO,,2019,184896,Developing an integrated virtual assistant (IVA): A tailored behavior tracking and reminder solution to assist persons with dementia and their caregivers
3653,Disease prognostication and treatment response in rectal cancer patients,NCI,10014464,1ZIABC010837-13,1,ZIA,CA,10837,13,,,15201371,"RIED, KARL ",Not Applicable,,,2019,882867,VOICE RECOGNITION INTERFACE AND KNOWLEDGE SERVER
3654,Disease prognostication and treatment response in rectal cancer patients,NCI,9779730,1ZIABC010837-12,1,ZIA,CA,10837,12,,,15201371,"RIED, KARL ",Not Applicable,,,2018,817917,Predicting Breast Cancer Risk after Benign Percutaneous Biopsy
3655,Disease prognostication and treatment response in rectal cancer patients,NCI,9556384,1ZIABC010837-11,1,ZIA,CA,10837,11,,,15201371,"RIED, KARL ",Not Applicable,,,2017,861424,THE ROLE OF THE HAPTIC SYSTEM IN COMMUNICATION
3656,Mechanisms of Rapid; Flexible Cognitive Control in Human Prefrontal Cortex,NINDS,9792299,5U01NS108923-02,5,U01,NS,108923,2,,,9424298,"SHETH, SAMEER ANIL",Not Applicable,BAYLOR COLLEGE OF MEDICINE,,2019,665648,
3657,Mechanisms of Rapid; Flexible Cognitive Control in Human Prefrontal Cortex,NINDS,9628299,1U01NS108923-01,1,U01,NS,108923,1,,,9424298,"SHETH, SAMEER ANIL",Not Applicable,BAYLOR COLLEGE OF MEDICINE,,2018,704586,
3658,KNOWLEDGE PROCESSING FOR CLINICAL PRACTICE GUIDELINES,NLM,6391263,5R29LM005552-05,5,R29,LM,5552,5,,,1949353,"SHIFFMAN, RICHARD N",Not Applicable,YALE UNIVERSITY,,2001,114450,
3659,KNOWLEDGE PROCESSING FOR CLINICAL PRACTICE GUIDELINES,NLM,6185209,5R29LM005552-04,5,R29,LM,5552,4,,,1949353,"SHIFFMAN, RICHARD N",Not Applicable,YALE UNIVERSITY,,2000,114450,
3660,Monitoring Lower Limb Movement to Predict Ambulatory Ability after Spinal Cord Injury,NICHD,9756205,1F30HD096828-01A1,1,F30,HD,96828,1,A1,,15285528,"RIGOT, STEPHANIE ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,38616,KNOWLEDGE PROCESSING FOR CLINICAL PRACTICE GUIDELINES
3661,2771694,5R29LM005552-02,5,R29,LM,5552,2,,,1949353,"SHIFFMAN, RICHARD N",Not Applicable,YALE UNIVERSITY,,1998,111212,,,
3662,KNOWLEDGE PROCESSING FOR CLINICAL PRACTICE GUIDELINES,NLM,2032350,1R29LM005552-01A1,1,R29,LM,5552,1,A1,,1949353,"SHIFFMAN, RICHARD N",Not Applicable,YALE UNIVERSITY,,1997,62831,
3663,Harnessing the power of CTSA-CDRN data networks: Using social determinants of health; frailty and functional status to identify at-risk patients and improve risk adjustment,NCATS,9749954,5U01TR002393-02,5,U01,TR,2393,2,,,6835786,"SHIREMAN, PAULA K",Not Applicable,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,,2019,758859,
3664,Whole Genome Sequencing in Irish Multiplex Schizophrenia Families,NIMH,9555069,5R01MH114593-02,5,R01,MH,114593,2,,,6100581,"RILEY, BRIEN P",Not Applicable,VIRGINIA COMMONWEALTH UNIVERSITY,,2018,457798,Machine Learning Tools for Discovery and Analysis of Active Metabolic Pathways
3665,THERAPY-PLANNING STRATEGIES FOR CONSULTATION BY COMPUTER,NLM,3373562,3R01LM004136-06S1,3,R01,LM,4136,6,S1,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1990,46501,
3666,THERAPY-PLANNING STRATEGIES FOR CONSULTATION BY COMPUTER,NLM,3373565,5R01LM004136-06,5,R01,LM,4136,6,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1989,213259,
3667,428830,THERAPY-PLANNING STRATEGIES FOR CONSULTATION BY COMPUTER,NLM,3373564,5R01LM004136-05,5,R01,LM,4136,5,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1988,203893
3668,THERAPY-PLANNING STRATEGIES FOR CONSULTATION BY COMPUTER,NLM,3373563,5R01LM004136-03,5,R01,LM,4136,3,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1985,Administrative Core of the CIFASD,NIAAA
3669,MEDICAL EXPERIMENTAL COMPUTER RESOURCE,NLM,3103611,3P41LM005208-18S1,3,P41,LM,5208,18,S1,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1991,1499870,
3670,428830,MEDICAL EXPERIMENTAL COMPUTER RESOURCE,NLM,3103612,5P41LM005208-18,5,P41,LM,5208,18,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1990,2212918
3671,Administrative Core of the CIFASD,NIAAA,9390289,2U24AA014811-14,2,U24,AA,14811,14,,,1878177,"RILEY, EDWARD P",Not Applicable,SAN DIEGO STATE UNIVERSITY,,2017,401580,CORE--CLINICAL TRIALS WORKSTATION DEVELOPMENT
3672,238169,,,,,,,,,,,,,,,,,,
3673,CORE--CLINICAL TRIALS WORKSTATION DEVELOPMENT,NLM,5214502,5P41LM005305-05,5,P41,LM,5305,5,,1,3242732,"SHORTLIFFE, EDWARD H",Not Applicable,,,1996,,
3674,Administrative Core of the CIFASD ,NIAAA,8856103,5U24AA014811-12,5,U24,AA,14811,12,,,1878177,"RILEY, EDWARD P",Not Applicable,SAN DIEGO STATE UNIVERSITY,,2015,CENTER FOR ADVANCED MEDICAL INFORMATICS,NLM
3675,CTR FOR ADVANCED MEDICAL INFORMATICS AT STANFORD,NLM,3103616,5P41LM005305-02,5,P41,LM,5305,2,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1993,1877980,
3676,CTR FOR ADVANCED MEDICAL INFORMATICS AT STANFORD,NLM,3103615,1P41LM005305-01A1,1,P41,LM,5305,1,A1,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1992,1800000,
3677,Administrative Core of the CIFASD ,NIAAA,8669777,5U24AA014811-11,5,U24,AA,14811,11,,,1878177,"RILEY, EDWARD P",Not Applicable,SAN DIEGO STATE UNIVERSITY,,2014,819449,Medical Informatics Research Training Program at Columb*
3678,8527617,5U24AA014811-10,5,U24,AA,14811,10,,,1878177,"RILEY, EDWARD P",Not Applicable,SAN DIEGO STATE UNIVERSITY,,2013,698738,MEDICAL EXPERIMENTAL COMPUTER RESOURCE,NCRR,3565402
3679,SU MEDICAL EXPERIMENTAL COMPUTER RESOURCE (SUMEX),NCRR,3103684,5P41RR000785-16,5,P41,RR,785,16,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1988,2090650,
3680,SU MEDICAL EXPERIMENTAL COMPUTER RESOURCE (SUMEX),NCRR,3103683,5P41RR000785-15,5,P41,RR,785,15,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1987,2192567,
3681,SU MEDICAL EXPERIMENTAL COMPUTER RESOURCE (SUMEX),NCRR,3103680,2P41RR000785-14,2,P41,RR,785,14,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1986,2132592,
3682,S U MEDICAL EXPERIMENTAL COMPUTER RESOURCE (SUMEX),NCRR,3103682,5P41RR000785-13,5,P41,RR,785,13,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1985,Leveraging advanced clinical phenotyping to enhance problem lists and support value-based healthcare,NCATS
3683,STUDIES OF THE DISSEMINATION OF CONSULTATION SYSTEMS,NCRR,3450541,5R24RR001631-03,5,R24,RR,1631,3,,,1865540,"SHORTLIFFE, EDWARD H",Not Applicable,STANFORD UNIVERSITY,,1985,325228,
3684,Informatics Core - Pharmacogenomics of Statin Therapy (POST),NIGMS,9772491,5P50GM115318-05,5,P50,GM,115318,5,,8057,6899994,"RITCHIE, MARYLYN D",Not Applicable,CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,,2019,,"391594""Improved tailoring of depression care using customized clinical decision support"""
3685,Informatics Core - Pharmacogenomics of Statin Therapy (POST),NIGMS,9560845,5P50GM115318-04,5,P50,GM,115318,4,,8057,6899994,"RITCHIE, MARYLYN D",Not Applicable,CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,,2018,,"292146""NEW ORLEANS COOP AGREEMENT FOR AIDS CMTY OUTREACH/INTERV"""
3686,Informatics Core - Pharmacogenomics of Statin Therapy (POST),NIGMS,9326330,5P50GM115318-03,5,P50,GM,115318,3,,8057,6899994,"RITCHIE, MARYLYN D",Not Applicable,CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,,2017,NEW ORLEANS COOP AGREEMENT FOR AIDS CMTY OUTREACH/INTERV,NIDA
3687,OBJECT-ORIENTED SIMULATION OF HIV- AND CNS/HIV INFECTION,NIMH,3475348,5R29MH045688-03,5,R29,MH,45688,3,,,8903295,"SIEBURG, HANS B",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO,,1991,88757,
3688,9139485,5P50GM115318-02,5,P50,GM,115318,2,,8057,6899994,"RITCHIE, MARYLYN D",Not Applicable,CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,,2016,,"227596""OBJECT-ORIENTED SIMULATION OF HIV- AND CNS/HIV INFECTION""",NIMH,3475347
3689,OBJECT-ORIENTED SIMULATION OF HIV- AND CNS/HIV INFECTION,NIMH,3475346,1R29MH045688-01,1,R29,MH,45688,1,,,8903295,"SIEBURG, HANS B",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO,,1989,108002,
3690,Improving Critical Congenital Heart Disease Screening and Detection of 'Secondary' Targets,NICHD,9805011,1R21HD099239-01,1,R21,HD,99239,1,,,14994082,"SIEFKES, HEATHER M",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS,,2019,240804,
3691,Analysis Tool for Heritable and Envirnonmental Network Associations,NLM,7860712,5R01LM010040-02,5,R01,LM,10040,2,,,6899994,"RITCHIE, MARYLYN D",Not Applicable,VANDERBILT UNIVERSITY,YES,2010,297123,DEVELOPMENT OF THE EUSTACHIAN TUBE--COMPUTER RECONSTRUCTION
3692,Statistical Models in Epigenomics,NCI,6918610,5R01CA097346-04,5,R01,CA,97346,4,,,1916641,"SIEGMUND, KIMBERLY D",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2005,231563,
3693,Statistical Models in Epigenomics,NCI,6760111,5R01CA097346-03,5,R01,CA,97346,3,,,1916641,"SIEGMUND, KIMBERLY D",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2004,231563,
3694,Statistical Models in Epigenomics,NCI,6604939,5R01CA097346-02,5,R01,CA,97346,2,,,1916641,"SIEGMUND, KIMBERLY D",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2003,231563,
3695,Environment; Metabolomics; and PD,NIEHS,9652630,1R21ES030175-01,1,R21,ES,30175,1,,,1966018,"RITZ, BEATE R",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,Statistical Models in Epigenomics,NCI
3696,238182,,,,,,,,,,,,,,,,,,
3697,EPICA: Edge-based Precision Intensive Care Analytics,NINR,9778345,1R43NR018623-01,1,R43,NR,18623,1,,,15683816,"SIKA, MICHEL ",Not Applicable,"LUCID CIRCUIT, INC.",,2019,149985,
3698,954904,ECONOMIC EVALUATION OF FEVER MANAGEMENT IN CHILDREN WITH SICKLE CELL DISEASE,NHLBI,6325929,5P60HL038632-13,5,P60,HL,38632,13,,22,1866050,"SILBER, JEFFREY H",Not Applicable,CHILDREN'S HOSPITAL OF PHILADELPHIA,,2000,
3699,Olfactory and facial markers of developmental risk for psychosis in 22q11 deletion syndrome,NIMH,9885029,1R01MH119185-01A1,1,R01,MH,119185,1,A1,,8768320,"ROALF, DAVID R ","MOBERG, PAUL J",UNIVERSITY OF PENNSYLVANIA,,2019,746845,ECONOMIC EVALUATION OF FEVER MANAGEMENT IN CHILDREN WITH SICKLE CELL DISEASE
3700,ECONOMIC EVALUATION OF FEVER MANAGEMENT IN CHILDREN WITH SICKLE CELL DISEASE,NHLBI,6272790,2P60HL038632-11,2,P60,HL,38632,11,,22,1866050,"SILBER, JEFFREY H",Not Applicable,CHILDREN'S HOSPITAL OF PHILADELPHIA,,1998,,173824
3701,Optimizing Usability of the Orally Rehydrate Children at Home Mobile Application - Optimize ORCAH,NICHD,9906781,1R41HD101158-01,1,R41,HD,101158,1,,,8493389,"SILLS, MARION RUTH ","EMERY, SHAWN ","DATA2CARE TECHNOLOGIES, LLC",,2019,145682,
3702,Identification of small molecule modulators of DNA Methylation inhibition,NCATS,10011402,1ZIATR000300-03,1,ZIA,TR,300,3,,,14380091,"SIMEONOV, ANTON ",Not Applicable,,,2019,132650,
3703,Naeglearia fowleri proline tRNA synthetase inhibitors,NCATS,10011443,1ZIATR000388-01,1,ZIA,TR,388,1,,,14380091,"SIMEONOV, ANTON ",Not Applicable,,,2019,47590,
3704,Fine-grained spatial information extraction for radiology reports,Antibody discovery,1,R21,EB,29575,1,,,12284790,"ROBERTS, KIRK EDWARD",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,NCATS,10011448,1ZIATR000394-01,1,ZIA,TR
3705,Enabling ethical participation in innovative neuroscience on mental illness and addiction: towards a new screening tool enhancing informed consent for transformative research on the human brain,NIMH,9741540,5R01MH114856-03,5,R01,MH,114856,3,,,2098129,"ROBERTS, LAURA W",Not Applicable,STANFORD UNIVERSITY,,2019,459850,Behavioral and Neurobiological Underpinnings of Spoken Word Recognition in Late Language Emergence
3706,Methods Core,NIMH,9881693,1U19MH121738-01,1,U19,MH,121738,1,,7279,7825353,"SIMON, GREGORY E.",Not Applicable,KAISER FOUNDATION RESEARCH INSTITUTE,,Enabling ethical participation in innovative neuroscience on mental illness and addiction: towards a new screening tool enhancing informed consent for transformative research on the human brain,NIMH,9564206
3707,Innovative Methods for Real-time Risk Modeling of Postoperative Complications,NIGMS,9669061,5R01GM120079-03,5,R01,GM,120079,3,,,9877035,"SIMON, GYORGY ",Not Applicable,UNIVERSITY OF MINNESOTA,,2019,576742,
3708,SPRINT: Signature for Pain Recovery IN Teens,NINDS,9889726,1R61NS114926-01,1,R61,NS,114926,1,,,9817338,"SIMONS, LAURA E",Not Applicable,STANFORD UNIVERSITY,,2019,5386781,
3709,Developing a mobile alcohol biosensor platform for use in medication testing research,NIAAA,9928862,5K23AA026890-02,5,K23,AA,26890,2,,,14733432,"ROBERTS, WALTER MCRAINEY",Not Applicable,YALE UNIVERSITY,,2020,165343,ERK signaling in arteriogenesis
3710,Developing a mobile alcohol biosensor platform for use in medication testing research,NIAAA,9743975,1K23AA026890-01A1,1,K23,AA,26890,1,A1,,14733432,"ROBERTS, WALTER MCRAINEY",Not Applicable,YALE UNIVERSITY,,2019,165343,ERK signaling in arteriogenesis
3711,ERK signaling in arteriogenesis,NHLBI,9488983,2P01HL107205-06A1,2,P01,HL,107205,6,A1,8180,1893548,"SIMONS, MICHAEL ",Not Applicable,YALE UNIVERSITY,,2018,,553583
3712,Advancing Human Health by Lowering Barriers to Electrophysiology in Genetic Model Organisms,NIGMS,9671422,5R44GM119906-03,5,R44,GM,119906,3,,,1882555,"ROBERTS, WILLIAM M ","LOCKERY, SHAWN R;MCCORMICK, KATHRYN E;WEEKS, JANIS C","NEMAMETRIX, INC.",,2019,475637,AUTOMATIC ADAPTATION EXPERTS FOR COMPUTER ACCESS AND AAC
3713,8554087,1ZICBC010953-05,1,ZIC,CA,10953,5,,,9692305,"SIMPSON, ROBERT ",Not Applicable,,,2012,1239425,,,
3714,Uncovering the Human Secretome,NIA,9751141,5DP1AG058605-03,5,DP1,AG,58605,3,,,6484112,"SINCLAIR, DAVID A.",Not Applicable,HARVARD MEDICAL SCHOOL,,2019,1186500,
3715,,,,,,,,,,,,,,,,,,,
3716,CMA: Marker-assisted prevention and risk stratification (MAPRS): Artificial Intelligence Endoscopy for Colorectal Cancer Prevention (CMA1),VA,9664083,1I01BX004455-01,1,I01,VA,4455,1,,,1898724,"SINGH, SATISH K",Not Applicable,VA BOSTON HEALTH CARE SYSTEM,,2019,,
3717,Illuminating the Druggable Genome by Knowledge Graphs,NCI,9742135,1U01CA239108-01,1,U01,CA,239108,1,,,12423471,"ROBINSON, PETER NICHOLAS ","MUNGALL, CHRISTOPHER J;OPREA, TUDOR I",JACKSON LABORATORY,,2019,588030,Artificial Intelligence for the Management of Colorectal Neoplasia Using Combined-Modality Spectroscopy and Enhanced Imaging
3718,Comparative Risks and Benefits of Pharmacological Therapies for Older Patients with Inflammatory Bowel Diseases,NIDDK,9735225,5K23DK117058-02,5,K23,DK,117058,2,,,12491575,"SINGH, SIDDHARTH ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,203990,
3719,Role of State Medicaid Policies in Improving Access to Dental Care among Low-Income Adults,NIDCR,9724447,5K08DE027720-02,5,K08,DE,27720,2,,,14969044,"SINGHAL, ASTHA ",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2019,130717,
3720,Harmonized Data-Derived Resources for the Alzheimer's Disease and Related Dementias Community,NIA,10011287,1ZIAAG000534-01,1,ZIA,AG,534,1,,,9691113,"SINGLETON, ANDREW ",Not Applicable,,,2019,135238,
3721,Genetic Analysis Of Alzheimer s Disease,NIA,10005775,1ZIAAG000950-18,1,ZIA,AG,950,18,,,9691113,"SINGLETON, ANDREW ",Not Applicable,,,2019,1271237,
3722,Genetic Analysis Of Alzheimer s Disease,NIA,9770190,1ZIAAG000950-17,1,ZIA,AG,950,17,,,9691113,"SINGLETON, ANDREW ",Not Applicable,,,2018,897076,
3723,Topological Mapping of Immune; Microbiota; Metabolomic and Clinical Phenotypes to Reveal ME/CFS Disease Mechanisms - Clinical Research Project,NINDS,9479805,1U54NS105539-01,1,U54,NS,105539,1,,5816,12423471,"ROBINSON, PETER NICHOLAS",Not Applicable,JACKSON LABORATORY,,2017,,"651220""Rapid and broad pathogen profiling system for infection in newborn"""
3724,SURPASS: (Statin Use and Risk Prediction of Atherosclerotic Cardiovascular Disease in minority Subgroups),NHLBI,9851429,5K01HL144607-02,5,K01,HL,144607,2,,,12507704,"RODRIGUEZ, FATIMA ",Not Applicable,STANFORD UNIVERSITY,,2020,172001,DEVELOPMENT OF ARTIFICIAL INTELLIGENCE (AI) TOOLS TO UNDERSTAND AND DUPLICATE EXPERTS RADIATION THERAPY PLANNING FOR PROSTATE CANCER
3725,SURPASS: (Statin Use and Risk Prediction of Atherosclerotic Cardiovascular Disease in minority Subgroups),NHLBI,9645316,1K01HL144607-01,1,K01,HL,144607,1,,,12507704,"RODRIGUEZ, FATIMA ",Not Applicable,STANFORD UNIVERSITY,,2019,172692,Quantitative regulatory genomics: networks; cis-regulatory codes; and phenotypic variation
3726,HEMOFILTRATION CONTROL SYSTEM,NIDDK,3507305,3R44DK035624-03S1,3,R44,DK,35624,3,S1,,1872963,"SIPIN, A J",Not Applicable,"ANATOLE J. SIPIN COMPANY, INC.",,1988,19400,
3727,HEMOFILTRATION CONTROL SYSTEM,NIDDK,3507306,5R44DK035624-03,5,R44,DK,35624,3,,,1872963,"SIPIN, A J",Not Applicable,"ANATOLE J. SIPIN COMPANY, INC.",,1987,174600,
3728,HEMOFILTRATION CONTROL SYSTEM,NIDDK,3507304,2R44DK035624-02,2,R44,DK,35624,2,,,1872963,"SIPIN, A J",Not Applicable,"ANATOLE J. SIPIN COMPANY, INC.",,1986,NEVADA HEALTH SCIENCE INFORMATION ACCESS PROGRAM,NLM
3729,Novel Accelerometer Calibration and Validation in Children andAdolescents,NIDDK,9701986,5R01DK110148-04,5,R01,DK,110148,4,,,7875163,"SIRARD, JOHN RONALD ","STAUDENMAYER, JOHN W",UNIVERSITY OF MASSACHUSETTS AMHERST,,2019,362004,
3730,Computational Methods to Integrate and Interpret the Transcriptome from Single Cell and Tissue Level Data,NIMH,10007193,1R01MH123184-01,1,R01,MH,123184,1,,,2422659,"ROEDER, KATHRYN M",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2020,516076,INTELLIGENT REAL TIME INFORMATION SYNTHESIS FOR MONITORS
3731,INTELLIGENT REAL-TIME INFORMATION SYNTHESIS FOR MONITORS,NLM,3474517,5R29LM005284-04,5,R29,LM,5284,4,,,1955075,"SITTIG, DEAN FORREST",Not Applicable,VANDERBILT UNIVERSITY,,1993,109716,
3732,ULTRASOUND HYPERTHERMIA SYSTEM FOR CANCER THERAPY,NCI,2894554,5R01CA033922-16,5,R01,CA,33922,16,,,8480014,"ROEMER, ROBERT ",Not Applicable,UNIVERSITY OF UTAH,,1999,303135,INTELLIGENT REAL-TIME INFORMATION SYNTHESIS FOR MONITORS
3733,INTELLIGENT REAL-TIME INFORMATION SYNTHESIS FOR MONITORS,NLM,3474515,1R29LM005284-01,1,R29,LM,5284,1,,,1955075,"SITTIG, DEAN FORREST",Not Applicable,YALE UNIVERSITY,,1991,52430,
3734,Data-Driven Identification of the Acute Respiratory Distress Syndrome,NHLBI,9652672,5K01HL136687-03,5,K01,HL,136687,3,,,12320812,"SJODING, MICHAEL WILLIAM",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2019,172087,
3735,562232,,,,,,,,,,,,,,,,,,
3736,COMPUTER SIMULATION THEORY OF GLOBULAR PROTEIN DYNA,NIGMS,2022122,5R01GM037408-10,5,R01,GM,37408,10,,,1864703,"SKOLNICK, JEFFREY ",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,1996,182701,
3737,ULTRASOUND HYPERTHERMIA SYSTEM FOR CANCER THERAPY,NCI,2088614,2R01CA033922-12,2,R01,CA,33922,12,,,8480014,"ROEMER, ROBERT ",Not Applicable,UNIVERSITY OF UTAH,,1995,273815,COMPUTER SIMULATION THEORY OF GLOBULAR PROTEIN DYNA
3738,Dementia and Heart Failure in the Community,NIGMS,9973133,2178767,5R21AG064804-02,2R01GM037408-08A1,2,R01,GM,37408,8,A1,,6276558,"SKOLNICK, JEFFREY ",Not Applicable,MAYO CLINIC ROCHESTER,,1994
3739,808131,,,,,,,,,,,,,,,,,,
3740,Text Mining Pipeline to Accelerate Systematic Reviews in Evidence-Based Medicine,NLM,9731665,5R01LM010817-08,5,R01,LM,10817,8,,,1928306,"SMALHEISER, NEIL R. ","COHEN, AARON M.",UNIVERSITY OF ILLINOIS AT CHICAGO,,2019,599962,
3741,Novel Atrial Fibrillation Phenotypes Defined by Functional-Anatomical; Machine-Learned Classifications,NHLBI,9772892,5F32HL144101-02,5,F32,HL,144101,2,,,15282163,"ROGERS, ALBERT JOSEPH",Not Applicable,STANFORD UNIVERSITY,,2019,67730,Assessing the Robustness of Radiogenomic Associations using Deep Neural Networks in Glioblastoma Multiforme
3742,CHEMICAL COMMUNICATION-INTERDISCIPLINARY STUDIES,NIDCD,3216442,5R01DC000289-06,5,R01,DC,289,6,,,1864007,"SMITH, AMOS B",Not Applicable,MONELL CHEMICAL SENSES CENTER,,1990,218932,
3743,THE PRETERM BEHAVIORAL PHENOTYPE: TRAJECTORIES OF PSYCHOPATHOLOGY & CHANGES IN CEREBRAL CONNECTIVITY,NIMH,9967154,5R01MH113570-04,5,R01,MH,113570,4,,,10322223,"ROGERS, CYNTHIA E ","SMYSER, CHRISTOPHER DANIEL",WASHINGTON UNIVERSITY,,2020,614537,CHEMICAL COMMUNICATION-INTERDISCIPLINARY STUDIES
3744,THE PRETERM BEHAVIORAL PHENOTYPE: TRAJECTORIES OF PSYCHOPATHOLOGY & CHANGES IN CEREBRAL CONNECTIVITY,NIMH,9731643,5R01MH113570-03,5,R01,MH,113570,3,,,10322223,"ROGERS, CYNTHIA E ","SMYSER, CHRISTOPHER DANIEL",WASHINGTON UNIVERSITY,,2019,631649,CHEMICAL COMMUNICATION-INTERDISCIPLINARY STUDIES
3745,CHEMICAL COMMUNICATION INTERDISCIPLINARY STUDIES,NINDS,NIMH,3403400,5R01NS021790-03,9568804,5R01MH113570-02,5,R01,NS,21790,3,,,1864007,10322223,"SMITH, AMOS B",Not Applicable,"ROGERS, CYNTHIA E "
3746,THE PRETERM BEHAVIORAL PHENOTYPE: TRAJECTORIES OF PSYCHOPATHOLOGY & CHANGES IN CEREBRAL CONNECTIVITY,NIMH,9469790,1R01MH113570-01A1,1,R01,MH,113570,1,A1,,10322223,"ROGERS, CYNTHIA E ","SMYSER, CHRISTOPHER DANIEL",WASHINGTON UNIVERSITY,,2017,613948,PRIMATE CHEMICAL COMMUNICATION INTERDISCIPLINARY STUDIES
3747,PRIMATE CHEMICAL COMMUNICATION INTERDISCIPLINARY STUDIES,NINDS,3403396,1R01NS021790-01,1,R01,NS,21790,1,,,1864007,"SMITH, AMOS B",Not Applicable,MONELL CHEMICAL SENSES CENTER,,1985,72512,
